Name,CAS,MW,Density
Phenyliodine diacetate,3240-34-4,322.79,N/A
1-Phenylethanol,98-85-1,122.167,1.012
"2,2,6,6-tetramethyl-1-piperidinyloxy",2564-83-2,156.25,N/A
"1,2-Dichloroethane",107-06-2,96.95,1.253
Water,7732-18-5,18.02,1
